,index,id,price,owner,collectionName,collectionTitle,img,title,propertyCategory,creators,attributes,properties,tokenDelegateValid,rarity,version
0,8277,BD1Vu3m5zbsxkN5wHWz8dhjTVxJLGMXsPktG3EDo1Q1H,6969.0,9yTMGfZfBuQMBSxCMMtaAwuJbPWrY8YaXxaEbLssuaHL,degenerate_ape_academy,Degenerate Ape Academy,https://arweave.net/f5V2jiD0iALvrcalug5A6-QFf3nSplzaRyNEQoqnwHc,Degen Ape #3681,image,"[{'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'verified': 0, 'share': 39}, {'address': '9FYsKrNuEweb55Wa2jaj8wTKYDBvuCG3huhakEj96iN9', 'verified': 0, 'share': 25}, {'address': 'HNGVuL5kqjDehw7KR63w9gxow32sX6xzRNgLb8GkbwCM', 'verified': 0, 'share': 25}, {'address': '7FzXBBPjzrNJbm9MrZKZcyvP3ojVeYPUG2XkBPVZvuBu', 'verified': 0, 'share': 10}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'verified': 1, 'share': 1}]","[{'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Fur / Skin', 'value': 'Brown / Peach'}, {'trait_type': 'Head', 'value': ""Pilot's Hat""}, {'trait_type': 'Mouth', 'value': 'Hotdog'}, {'trait_type': 'Teeth', 'value': 'No Traits'}, {'trait_type': 'Clothing', 'value': ""Maid's Uniform""}, {'trait_type': 'Eyewear', 'value': '3d Glasses'}, {'display_type': 'number', 'trait_type': 'generation', 'value': 1}, {'display_type': 'number', 'trait_type': 'sequence', 'value': 3681}]","{'category': 'image', 'creators': [{'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'share': 39}, {'address': '9FYsKrNuEweb55Wa2jaj8wTKYDBvuCG3huhakEj96iN9', 'share': 25}, {'address': 'HNGVuL5kqjDehw7KR63w9gxow32sX6xzRNgLb8GkbwCM', 'share': 25}, {'address': '7FzXBBPjzrNJbm9MrZKZcyvP3ojVeYPUG2XkBPVZvuBu', 'share': 10}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'share': 1}], 'files': [{'uri': 'https://arweave.net/f5V2jiD0iALvrcalug5A6-QFf3nSplzaRyNEQoqnwHc?ext=png', 'type': 'image/png'}]}",False,,1
1,8276,9Un3Fb8cdaACRrfMLqyAEGDt4Fu1fJc9WVqifTVyErgP,5500.0,B6KVBGaHXuAJreyKKkiH4U8j8jKi3wyMBqpMKSEQbK4z,degenerate_ape_academy,Degenerate Ape Academy,https://arweave.net/HuxetycsGOYcJN49n9wrKUM4qLkwGjxohxMPmb8-lvs,Degen Ape #1777,image,"[{'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'verified': 0, 'share': 39}, {'address': '9FYsKrNuEweb55Wa2jaj8wTKYDBvuCG3huhakEj96iN9', 'verified': 0, 'share': 25}, {'address': 'HNGVuL5kqjDehw7KR63w9gxow32sX6xzRNgLb8GkbwCM', 'verified': 0, 'share': 25}, {'address': '7FzXBBPjzrNJbm9MrZKZcyvP3ojVeYPUG2XkBPVZvuBu', 'verified': 0, 'share': 10}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'verified': 1, 'share': 1}]","[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Fur / Skin', 'value': 'Brown / Peach'}, {'trait_type': 'Head', 'value': 'Bucket Hat'}, {'trait_type': 'Mouth', 'value': 'Pipe'}, {'trait_type': 'Teeth', 'value': 'No Traits'}, {'trait_type': 'Clothing', 'value': 'Hoodie'}, {'trait_type': 'Eyewear', 'value': 'Round Glasses'}, {'display_type': 'number', 'trait_type': 'generation', 'value': 1}, {'display_type': 'number', 'trait_type': 'sequence', 'value': 1777}]","{'category': 'image', 'creators': [{'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'share': 39}, {'address': '9FYsKrNuEweb55Wa2jaj8wTKYDBvuCG3huhakEj96iN9', 'share': 25}, {'address': 'HNGVuL5kqjDehw7KR63w9gxow32sX6xzRNgLb8GkbwCM', 'share': 25}, {'address': '7FzXBBPjzrNJbm9MrZKZcyvP3ojVeYPUG2XkBPVZvuBu', 'share': 10}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'share': 1}], 'files': [{'uri': 'https://arweave.net/HuxetycsGOYcJN49n9wrKUM4qLkwGjxohxMPmb8-lvs?ext=png', 'type': 'image/png'}]}",False,,1
2,8275,6yXLz5eZ5n5ZQYH11Lum4nWacqrzit9BdehaEPAyyihb,4000.0,h5sbxYhFYCwERGvg2t2RvdtooYTHi9Gip4eo6DX5Sv7,degenerate_ape_academy,Degenerate Ape Academy,https://arweave.net/kbRU29j_XNeIEJEFEh-f340vHdZlZfWSyzJgWMlgeUs,Degen Ape #5314,image,"[{'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'verified': 0, 'share': 39}, {'address': '9FYsKrNuEweb55Wa2jaj8wTKYDBvuCG3huhakEj96iN9', 'verified': 0, 'share': 25}, {'address': 'HNGVuL5kqjDehw7KR63w9gxow32sX6xzRNgLb8GkbwCM', 'verified': 0, 'share': 25}, {'address': '7FzXBBPjzrNJbm9MrZKZcyvP3ojVeYPUG2XkBPVZvuBu', 'verified': 0, 'share': 10}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'verified': 1, 'share': 1}]","[{'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Fur / Skin', 'value': 'Black / Gray'}, {'trait_type': 'Head', 'value': 'Conical Hat'}, {'trait_type': 'Mouth', 'value': 'Eggplant'}, {'trait_type': 'Teeth', 'value': 'Diamond Teeth'}, {'trait_type': 'Clothing', 'value': 'Leather Jacket'}, {'trait_type': 'Eyewear', 'value': 'Wayfarer Glasses'}, {'display_type': 'number', 'trait_type': 'generation', 'value': 1}, {'display_type': 'number', 'trait_type': 'sequence', 'value': 5314}]","{'category': 'image', 'creators': [{'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'share': 39}, {'address': '9FYsKrNuEweb55Wa2jaj8wTKYDBvuCG3huhakEj96iN9', 'share': 25}, {'address': 'HNGVuL5kqjDehw7KR63w9gxow32sX6xzRNgLb8GkbwCM', 'share': 25}, {'address': '7FzXBBPjzrNJbm9MrZKZcyvP3ojVeYPUG2XkBPVZvuBu', 'share': 10}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'share': 1}], 'files': [{'uri': 'https://arweave.net/kbRU29j_XNeIEJEFEh-f340vHdZlZfWSyzJgWMlgeUs?ext=png', 'type': 'image/png'}]}",False,,1
3,8274,3eYyjmw5SW7Zg9ZEiXGKATMoZyPwkC6HMUTP2E3GQtsb,3888.0,2bcURY4ZTZqeAJgg47gFhynmf8aAXBr8xZ52HvpdyA25,degenerate_ape_academy,Degenerate Ape Academy,https://arweave.net/af_Kii0NKGOfM3OIySdCBXQlNRpH7SWxZbKK3OK2mGY,Degen Ape #10,image,"[{'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'verified': 0, 'share': 39}, {'address': '9FYsKrNuEweb55Wa2jaj8wTKYDBvuCG3huhakEj96iN9', 'verified': 0, 'share': 25}, {'address': 'HNGVuL5kqjDehw7KR63w9gxow32sX6xzRNgLb8GkbwCM', 'verified': 0, 'share': 25}, {'address': '7FzXBBPjzrNJbm9MrZKZcyvP3ojVeYPUG2XkBPVZvuBu', 'verified': 0, 'share': 10}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'verified': 1, 'share': 1}]","[{'trait_type': 'Background', 'value': 'Black'}, {'trait_type': 'Fur / Skin', 'value': 'Black / Peach'}, {'trait_type': 'Head', 'value': 'The Artist'}, {'trait_type': 'Mouth', 'value': 'Crayons'}, {'trait_type': 'Teeth', 'value': 'No Traits'}, {'trait_type': 'Clothing', 'value': 'Turtleneck Suit'}, {'trait_type': 'Eyewear', 'value': 'No Traits'}, {'display_type': 'number', 'trait_type': 'generation', 'value': 1}, {'display_type': 'number', 'trait_type': 'sequence', 'value': 10}]","{'category': 'image', 'creators': [{'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'share': 39}, {'address': '9FYsKrNuEweb55Wa2jaj8wTKYDBvuCG3huhakEj96iN9', 'share': 25}, {'address': 'HNGVuL5kqjDehw7KR63w9gxow32sX6xzRNgLb8GkbwCM', 'share': 25}, {'address': '7FzXBBPjzrNJbm9MrZKZcyvP3ojVeYPUG2XkBPVZvuBu', 'share': 10}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'share': 1}], 'files': [{'uri': 'https://arweave.net/af_Kii0NKGOfM3OIySdCBXQlNRpH7SWxZbKK3OK2mGY?ext=png', 'type': 'image/png'}]}",False,,1
4,8273,B4eiqAeaWL2MRUAvf5j616ywbD9M2APC3eV5GPiZFZRX,3333.0,94zpwMXt99WPEZ5ir3R7k5XUTwCenaFzdGX3erSKscZN,degenerate_ape_academy,Degenerate Ape Academy,https://arweave.net/MX4glJYf74acCxMLA5SQCDaiK0On94GIbq4rg5_DAB8,Degen Ape #6103,image,"[{'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'verified': 0, 'share': 39}, {'address': '9FYsKrNuEweb55Wa2jaj8wTKYDBvuCG3huhakEj96iN9', 'verified': 0, 'share': 25}, {'address': 'HNGVuL5kqjDehw7KR63w9gxow32sX6xzRNgLb8GkbwCM', 'verified': 0, 'share': 25}, {'address': '7FzXBBPjzrNJbm9MrZKZcyvP3ojVeYPUG2XkBPVZvuBu', 'verified': 0, 'share': 10}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'verified': 1, 'share': 1}]","[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Fur / Skin', 'value': 'Albino / Peach'}, {'trait_type': 'Head', 'value': 'Degen Service Hat'}, {'trait_type': 'Mouth', 'value': 'Soda'}, {'trait_type': 'Teeth', 'value': 'No Traits'}, {'trait_type': 'Clothing', 'value': 'Degen Service Shirt'}, {'trait_type': 'Eyewear', 'value': 'No Traits'}, {'display_type': 'number', 'trait_type': 'generation', 'value': 1}, {'display_type': 'number', 'trait_type': 'sequence', 'value': 6103}]","{'category': 'image', 'creators': [{'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'share': 39}, {'address': '9FYsKrNuEweb55Wa2jaj8wTKYDBvuCG3huhakEj96iN9', 'share': 25}, {'address': 'HNGVuL5kqjDehw7KR63w9gxow32sX6xzRNgLb8GkbwCM', 'share': 25}, {'address': '7FzXBBPjzrNJbm9MrZKZcyvP3ojVeYPUG2XkBPVZvuBu', 'share': 10}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'share': 1}], 'files': [{'uri': 'https://arweave.net/MX4glJYf74acCxMLA5SQCDaiK0On94GIbq4rg5_DAB8?ext=png', 'type': 'image/png'}]}",False,,1
5,8272,8swbkJ8adp72BVREWg1m3f8qBLo131WUG3K2fgscWFi7,3200.0,G6UCAj7jZr1aX6TmBVZsj1JCpCyXA4L9xfVepy6dAMyG,degenerate_ape_academy,Degenerate Ape Academy,https://arweave.net/kaEQM5V4r5gBjfHVBL04tIO2k6z_u02b79OZnXtbGz8,Degen Ape #8314,image,"[{'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'verified': 0, 'share': 39}, {'address': '9FYsKrNuEweb55Wa2jaj8wTKYDBvuCG3huhakEj96iN9', 'verified': 0, 'share': 25}, {'address': 'HNGVuL5kqjDehw7KR63w9gxow32sX6xzRNgLb8GkbwCM', 'verified': 0, 'share': 25}, {'address': '7FzXBBPjzrNJbm9MrZKZcyvP3ojVeYPUG2XkBPVZvuBu', 'verified': 0, 'share': 10}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'verified': 1, 'share': 1}]","[{'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Fur / Skin', 'value': 'Purple / Purple'}, {'trait_type': 'Head', 'value': 'Snapback Cap'}, {'trait_type': 'Mouth', 'value': 'Golden Tendie'}, {'trait_type': 'Teeth', 'value': 'No Traits'}, {'trait_type': 'Clothing', 'value': 'NB-Ape Yellow'}, {'trait_type': 'Eyewear', 'value': 'No Traits'}, {'display_type': 'number', 'trait_type': 'generation', 'value': 1}, {'display_type': 'number', 'trait_type': 'sequence', 'value': 8314}]","{'category': 'image', 'creators': [{'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'share': 39}, {'address': '9FYsKrNuEweb55Wa2jaj8wTKYDBvuCG3huhakEj96iN9', 'share': 25}, {'address': 'HNGVuL5kqjDehw7KR63w9gxow32sX6xzRNgLb8GkbwCM', 'share': 25}, {'address': '7FzXBBPjzrNJbm9MrZKZcyvP3ojVeYPUG2XkBPVZvuBu', 'share': 10}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'share': 1}], 'files': [{'uri': 'https://arweave.net/kaEQM5V4r5gBjfHVBL04tIO2k6z_u02b79OZnXtbGz8?ext=png', 'type': 'image/png'}]}",False,,1
6,8271,GKyywKNbFhTXVykg9tZzR2QF13HjhP4hV3diZKmGj7W1,3200.0,35UzaRcBDL46Efaq5ctYwkg6nMVcSc2XLSvhiWuKrQVf,degenerate_ape_academy,Degenerate Ape Academy,https://arweave.net/1QWzRsujJafowic1v_jMwCG5aaLDakhD862h1RTK3B4,Degen Ape #434,image,"[{'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'verified': 0, 'share': 39}, {'address': '9FYsKrNuEweb55Wa2jaj8wTKYDBvuCG3huhakEj96iN9', 'verified': 0, 'share': 25}, {'address': 'HNGVuL5kqjDehw7KR63w9gxow32sX6xzRNgLb8GkbwCM', 'verified': 0, 'share': 25}, {'address': '7FzXBBPjzrNJbm9MrZKZcyvP3ojVeYPUG2XkBPVZvuBu', 'verified': 0, 'share': 10}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'verified': 1, 'share': 1}]","[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Fur / Skin', 'value': 'Acid Trip'}, {'trait_type': 'Head', 'value': 'Degen Service Hat'}, {'trait_type': 'Mouth', 'value': 'No Traits'}, {'trait_type': 'Teeth', 'value': 'No Traits'}, {'trait_type': 'Clothing', 'value': 'Degen Service Shirt'}, {'trait_type': 'Eyewear', 'value': 'No Traits'}, {'display_type': 'number', 'trait_type': 'generation', 'value': 1}, {'display_type': 'number', 'trait_type': 'sequence', 'value': 434}]","{'category': 'image', 'creators': [{'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'share': 39}, {'address': '9FYsKrNuEweb55Wa2jaj8wTKYDBvuCG3huhakEj96iN9', 'share': 25}, {'address': 'HNGVuL5kqjDehw7KR63w9gxow32sX6xzRNgLb8GkbwCM', 'share': 25}, {'address': '7FzXBBPjzrNJbm9MrZKZcyvP3ojVeYPUG2XkBPVZvuBu', 'share': 10}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'share': 1}], 'files': [{'uri': 'https://arweave.net/1QWzRsujJafowic1v_jMwCG5aaLDakhD862h1RTK3B4?ext=png', 'type': 'image/png'}]}",False,,1
7,8270,2N9ApyveifSu7HeVanT6XUsZnh2bMKDmrCPzRdHVvtCa,2769.0,DgrrREd29u5G1b7MXLbVi1GML8BhX7ES9fuqKMeSWNBL,degenerate_ape_academy,Degenerate Ape Academy,https://arweave.net/_GbRoOm_6rjdxA_rsxPm0-oBUd3rMzuw06UrhveJR-c,Degen Ape #6117,image,"[{'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'verified': 0, 'share': 39}, {'address': '9FYsKrNuEweb55Wa2jaj8wTKYDBvuCG3huhakEj96iN9', 'verified': 0, 'share': 25}, {'address': 'HNGVuL5kqjDehw7KR63w9gxow32sX6xzRNgLb8GkbwCM', 'verified': 0, 'share': 25}, {'address': '7FzXBBPjzrNJbm9MrZKZcyvP3ojVeYPUG2XkBPVZvuBu', 'verified': 0, 'share': 10}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'verified': 1, 'share': 1}]","[{'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Fur / Skin', 'value': 'Purple / Peach'}, {'trait_type': 'Head', 'value': 'Roman Helmet'}, {'trait_type': 'Mouth', 'value': 'Drool'}, {'trait_type': 'Teeth', 'value': 'No Traits'}, {'trait_type': 'Clothing', 'value': 'Prince Charming'}, {'trait_type': 'Eyewear', 'value': 'No Traits'}, {'display_type': 'number', 'trait_type': 'generation', 'value': 1}, {'display_type': 'number', 'trait_type': 'sequence', 'value': 6117}]","{'category': 'image', 'creators': [{'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'share': 39}, {'address': '9FYsKrNuEweb55Wa2jaj8wTKYDBvuCG3huhakEj96iN9', 'share': 25}, {'address': 'HNGVuL5kqjDehw7KR63w9gxow32sX6xzRNgLb8GkbwCM', 'share': 25}, {'address': '7FzXBBPjzrNJbm9MrZKZcyvP3ojVeYPUG2XkBPVZvuBu', 'share': 10}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'share': 1}], 'files': [{'uri': 'https://arweave.net/_GbRoOm_6rjdxA_rsxPm0-oBUd3rMzuw06UrhveJR-c?ext=png', 'type': 'image/png'}]}",False,,1
8,8269,Ft5C5e8ck7wKpqGYFzc7QRaMkuRQ2j3zzViw1n7jLL5f,2525.0,35UzaRcBDL46Efaq5ctYwkg6nMVcSc2XLSvhiWuKrQVf,degenerate_ape_academy,Degenerate Ape Academy,https://arweave.net/U1g6go0Qs4B-v7Xyjrl0ogBYDmGJzTsUPsbEr54dNYQ,Degen Ape #6762,image,"[{'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'verified': 0, 'share': 39}, {'address': '9FYsKrNuEweb55Wa2jaj8wTKYDBvuCG3huhakEj96iN9', 'verified': 0, 'share': 25}, {'address': 'HNGVuL5kqjDehw7KR63w9gxow32sX6xzRNgLb8GkbwCM', 'verified': 0, 'share': 25}, {'address': '7FzXBBPjzrNJbm9MrZKZcyvP3ojVeYPUG2XkBPVZvuBu', 'verified': 0, 'share': 10}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'verified': 1, 'share': 1}]","[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Fur / Skin', 'value': 'Gold'}, {'trait_type': 'Head', 'value': 'Beer Hat'}, {'trait_type': 'Mouth', 'value': 'No Traits'}, {'trait_type': 'Teeth', 'value': 'No Traits'}, {'trait_type': 'Clothing', 'value': 'Tie-Dye T-Shirt'}, {'trait_type': 'Eyewear', 'value': 'No Traits'}, {'display_type': 'number', 'trait_type': 'generation', 'value': 1}, {'display_type': 'number', 'trait_type': 'sequence', 'value': 6762}]","{'category': 'image', 'creators': [{'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'share': 39}, {'address': '9FYsKrNuEweb55Wa2jaj8wTKYDBvuCG3huhakEj96iN9', 'share': 25}, {'address': 'HNGVuL5kqjDehw7KR63w9gxow32sX6xzRNgLb8GkbwCM', 'share': 25}, {'address': '7FzXBBPjzrNJbm9MrZKZcyvP3ojVeYPUG2XkBPVZvuBu', 'share': 10}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'share': 1}], 'files': [{'uri': 'https://arweave.net/U1g6go0Qs4B-v7Xyjrl0ogBYDmGJzTsUPsbEr54dNYQ?ext=png', 'type': 'image/png'}]}",False,,1
9,8268,6DuWfouWjyrsuSWFy2Bhy1pnfcfHZoFRBhaPZjVNHd5i,2480.0,76ZGkefNup1WHJ4V9U4JUGnbp9vJZcQQkvfFnhf76rvQ,degenerate_ape_academy,Degenerate Ape Academy,https://arweave.net/wBq-2pK3Hx1JwCG_q82pLnDhT7b8Xl971yYwaWYaZxI,Degen Ape #7564,image,"[{'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'verified': 0, 'share': 39}, {'address': '9FYsKrNuEweb55Wa2jaj8wTKYDBvuCG3huhakEj96iN9', 'verified': 0, 'share': 25}, {'address': 'HNGVuL5kqjDehw7KR63w9gxow32sX6xzRNgLb8GkbwCM', 'verified': 0, 'share': 25}, {'address': '7FzXBBPjzrNJbm9MrZKZcyvP3ojVeYPUG2XkBPVZvuBu', 'verified': 0, 'share': 10}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'verified': 1, 'share': 1}]","[{'trait_type': 'Background', 'value': 'Red'}, {'trait_type': 'Fur / Skin', 'value': 'Red / Blue'}, {'trait_type': 'Head', 'value': ""Pilot's Hat""}, {'trait_type': 'Mouth', 'value': 'No Traits'}, {'trait_type': 'Teeth', 'value': 'Gold Tooth'}, {'trait_type': 'Clothing', 'value': 'NB-Ape Yellow'}, {'trait_type': 'Eyewear', 'value': 'Round Glasses'}, {'display_type': 'number', 'trait_type': 'generation', 'value': 1}, {'display_type': 'number', 'trait_type': 'sequence', 'value': 7564}]","{'category': 'image', 'creators': [{'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'share': 39}, {'address': '9FYsKrNuEweb55Wa2jaj8wTKYDBvuCG3huhakEj96iN9', 'share': 25}, {'address': 'HNGVuL5kqjDehw7KR63w9gxow32sX6xzRNgLb8GkbwCM', 'share': 25}, {'address': '7FzXBBPjzrNJbm9MrZKZcyvP3ojVeYPUG2XkBPVZvuBu', 'share': 10}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'share': 1}], 'files': [{'uri': 'https://arweave.net/wBq-2pK3Hx1JwCG_q82pLnDhT7b8Xl971yYwaWYaZxI?ext=png', 'type': 'image/png'}]}",False,,1
