,_id,symbol,name,categories,createdAt,enabledAttributesFilters,isDraft,isDerivative,nftImageType,totalItems,updatedAt,isFlagged,version
175,622164cefc8e0e0e810fe911,6rings,6 RINGS,['launchpad'],2022-03-04T01:01:02.835Z,True,False,False,,5005.0,2022-03-04T01:01:02.835Z,,v3
125,622164cefc8e0e0e810fe911,6rings,6 RINGS,['launchpad'],2022-03-04T01:01:02.835Z,True,False,False,,5005.0,2022-03-04T01:01:02.835Z,,v2
269,622164cefc8e0e0e810fe911,6rings,6 RINGS,['launchpad'],2022-03-04T01:01:02.835Z,True,False,False,,5005.0,2022-03-04T01:01:02.835Z,,v4
36,61e37737bd85e7b14d4632be,888_anon_club,888 Anon Club™,['pfps'],2022-01-16T01:39:42.197Z,True,False,False,,888.0,,,v1
148,61e37737bd85e7b14d4632be,888_anon_club,888 Anon Club™,['pfps'],2022-01-16T01:39:42.197Z,True,False,False,,888.0,,,v3
245,61e37737bd85e7b14d4632be,888_anon_club,888 Anon Club™,['pfps'],2022-01-16T01:39:42.197Z,True,False,False,,888.0,,,v4
70,61e37737bd85e7b14d4632be,888_anon_club,888 Anon Club™,['pfps'],2022-01-16T01:39:42.197Z,True,False,False,,888.0,,,v2
271,622a61c64b507310a117f4f4,aiternate_holotabs,Aiternate - Holotabs,['launchpad'],2022-03-10T20:38:30.374Z,True,False,False,,6660.0,2022-03-10T20:38:30.374Z,,v4
128,622a61c64b507310a117f4f4,aiternate_holotabs,Aiternate - Holotabs,['launchpad'],2022-03-10T20:38:30.374Z,True,False,False,,6660.0,2022-03-10T20:38:30.374Z,,v2
177,622a61c64b507310a117f4f4,aiternate_holotabs,Aiternate - Holotabs,['launchpad'],2022-03-10T20:38:30.374Z,True,False,False,,6660.0,2022-03-10T20:38:30.374Z,,v3
338,624529b2bea360023d7ba55f,akari,Akari,"['pfps', 'art']",2022-03-31T04:10:26.417Z,True,False,False,,2222.0,2022-04-18T16:10:48.418Z,False,v4
188,624529b2bea360023d7ba55f,akari,Akari,"['pfps', 'art']",2022-03-31T04:10:26.417Z,True,False,False,,2222.0,2022-04-03T14:15:43.032Z,False,v3
79,6206a9d9814536dcf76c1d3c,aldermages,Alder Mages,"['art', 'virtual_worlds']",2022-02-11T18:24:26.494Z,True,False,False,,1666.0,,,v2
48,6206a9d9814536dcf76c1d3c,aldermages,Alder Mages,"['art', 'virtual_worlds']",2022-02-11T18:24:26.494Z,True,False,False,,1666.0,,,v1
253,6206a9d9814536dcf76c1d3c,aldermages,Alder Mages,"['art', 'virtual_worlds']",2022-02-11T18:24:26.494Z,True,False,False,,1666.0,,,v4
157,6206a9d9814536dcf76c1d3c,aldermages,Alder Mages,"['art', 'virtual_worlds']",2022-02-11T18:24:26.494Z,True,False,False,,1666.0,,,v3
77,62157914bd4ec99e9dfbbe39,almost_famous_pandas,Almost Famous Pandas,['launchpad'],2022-02-23T00:00:20.996Z,True,False,False,,8888.0,2022-02-23T00:00:20.996Z,,v2
155,62157914bd4ec99e9dfbbe39,almost_famous_pandas,Almost Famous Pandas,['launchpad'],2022-02-23T00:00:20.996Z,True,False,False,,8888.0,2022-02-23T00:00:20.996Z,,v3
45,62157914bd4ec99e9dfbbe39,almost_famous_pandas,Almost Famous Pandas,['launchpad'],2022-02-23T00:00:20.996Z,True,False,False,,8888.0,2022-02-23T00:00:20.996Z,,v1
251,62157914bd4ec99e9dfbbe39,almost_famous_pandas,Almost Famous Pandas,['launchpad'],2022-02-23T00:00:20.996Z,True,False,False,,8888.0,2022-02-23T00:00:20.996Z,,v4
186,6229433d765e65573c7f97a3,astrals,ASTRALS,"['pfps', 'games']",2022-03-10T00:15:57.032Z,True,,False,,10000.0,2022-04-03T14:37:16.880Z,,v3
314,6229433d765e65573c7f97a3,astrals,ASTRALS,"['pfps', 'games']",2022-03-10T00:15:57.032Z,True,False,False,,10000.0,2022-04-18T16:07:22.415Z,,v4
82,6229433d765e65573c7f97a3,astrals,ASTRALS,"['pfps', 'games']",2022-03-10T00:15:57.032Z,True,,False,,10000.0,,,v2
311,622a22f847a586b152af5432,atadians,OG Atadians,"['pfps', 'art']",2022-03-10T16:10:32.172Z,True,,False,,5000.0,2022-04-18T15:50:14.202Z,,v4
112,622a22f847a586b152af5432,atadians,OG Atadians,"['pfps', 'art']",2022-03-10T16:10:32.172Z,True,,False,,5000.0,,,v2
196,622a22f847a586b152af5432,atadians,OG Atadians,"['pfps', 'art']",2022-03-10T16:10:32.172Z,True,,False,,5000.0,2022-04-03T12:53:50.683Z,,v3
310,615017f33d226d6a3cfc9afd,aurory,Aurory,['games'],2021-09-26T06:49:23.082Z,True,False,False,,10002.0,2022-04-18T16:30:21.175Z,,v4
209,615017f33d226d6a3cfc9afd,aurory,Aurory,['games'],2021-09-26T06:49:23.082Z,True,False,False,,10002.0,2022-04-03T07:40:55.275Z,,v3
