,symbol,#_appear
0,lux_real_estate,4
1,portals,4
2,solbouncer,4
3,solana_money_boys,4
4,solana_hodl_whales,4
5,shadowy_super_coder_dao,4
6,degods,4
7,desolates_metaverse,4
8,diamond_town,4
9,robo_cocks,4
10,quantum_traders,4
11,famous_fox_federation,4
12,portals_citizen_cards,4
13,galactic_geckos,4
14,solgods,4
15,nuked_apes,4
16,monkelabs_dao,4
17,ghostguys_metaforge,4
18,monkelabs,4
19,guild_saga_heroes,4
20,honey_genesis_bee,4
21,iconicapeclub3d,4
22,monke_crew,4
23,lifinity_flares,4
24,888_anon_club,4
25,magicticket,4
26,defi_pirates,4
27,degenerate_ape_academy,4
28,space_runners,4
29,the_remnants_,4
30,zilla_vs_kong,4
31,zankoku,4
32,aldermages,4
33,almost_famous_pandas,4
34,yaku_corp,4
35,balloonsville,4
36,best_buds,4
37,bohemia_,4
38,thugbirdz,4
39,boryoku_dragonz,4
40,dazedducks_metagalactic_club,4
41,the_suites,4
42,the_fellowship,4
43,taiyo_robotics,4
44,danger_valley_ducks,4
45,spp,4
46,cyborg_iguanas,4
47,stoned_ape_crew,4
48,starbots_robot,4
49,magnum_ai,4
