,index,id,price,owner,collectionName,collectionTitle,img,title,propertyCategory,creators,attributes,properties,tokenDelegateValid,rarity,version
0,3729,9oN97cHobD88LXyJ1r6u3pfN3i3z5uCYz2CiDqy4BZvs,1111.0,AB9im7U5Jiwio5KWQpY6Uo6wyHGxHcNtbS4kuerhMrgH,monkelabs_dao,MonkeLabs DAO,https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/8f537fd9aebe9b33da17b6cd27a08f59.png,Monke #5463,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Body', 'value': 'Alien'}, {'trait_type': 'Clothes', 'value': 'Hazmat'}, {'trait_type': 'Eyes', 'value': 'Glasses'}, {'trait_type': 'Head', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Line'}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/8f537fd9aebe9b33da17b6cd27a08f59.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,1
1,3728,8gbVVs5FKUKR5LGdMdoz2oq6xJDDcfpoVLUbda325AkK,550.0,AB9im7U5Jiwio5KWQpY6Uo6wyHGxHcNtbS4kuerhMrgH,monkelabs_dao,MonkeLabs DAO,https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/61b98e08c58664847fb388774354a99b.png,Monke #1538,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Body', 'value': 'Cyborg'}, {'trait_type': 'Clothes', 'value': 'Tron Suit'}, {'trait_type': 'Eyes', 'value': 'None'}, {'trait_type': 'Head', 'value': 'Pill'}, {'trait_type': 'Mouth', 'value': 'Thoughtful'}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/61b98e08c58664847fb388774354a99b.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,1
2,3727,G7MbrB4TVSEtSMsHaGD3TNMhyEReBiY91Uy8PWXmj9Uo,500.0,EwazXuP58ekKWxjrCNY9PcKomc8Dh83vmq7R7wjoHjgM,monkelabs_dao,MonkeLabs DAO,https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/9eaa000c9dc50c4c51a0ab74cc7117c0.png,Monke #2971,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Body', 'value': 'Orangutan'}, {'trait_type': 'Clothes', 'value': 'T-Shirt'}, {'trait_type': 'Eyes', 'value': 'Goggles'}, {'trait_type': 'Head', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Dot'}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/9eaa000c9dc50c4c51a0ab74cc7117c0.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,1
3,3726,2nB16Sks5C7EcxuRiYD7Z7n41fVBVv6jftVMhgUgMboP,444.0,AB9im7U5Jiwio5KWQpY6Uo6wyHGxHcNtbS4kuerhMrgH,monkelabs_dao,MonkeLabs DAO,https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/700ad98d5ace80d1a913dc71bcc2c429.png,Monke #4747,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Red'}, {'trait_type': 'Body', 'value': 'Cyborg'}, {'trait_type': 'Clothes', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'None'}, {'trait_type': 'Head', 'value': 'Light Bulb'}, {'trait_type': 'Mouth', 'value': 'Smile'}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/700ad98d5ace80d1a913dc71bcc2c429.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,1
4,3725,CDPe5KQr7ktWxxTFA62ASj1qNda8s1wMYsnZMRXunkz2,420.69,2EcHKQDF4H3cQvXRMfuzdMgVxRXJG4tToQEfXHeosPN4,monkelabs_dao,MonkeLabs DAO,https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/665b027a55868469ef53db095636f2a7.png,Monke #5777,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Body', 'value': 'Brown'}, {'trait_type': 'Clothes', 'value': 'Tron Suit'}, {'trait_type': 'Eyes', 'value': 'Rainbow Visor'}, {'trait_type': 'Head', 'value': 'Slime'}, {'trait_type': 'Mouth', 'value': 'Full'}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/665b027a55868469ef53db095636f2a7.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,1
5,3724,NA6cdo9Rfwk1mHawxouT6yQGnt8QzgbvUQA2HFSxbac,115.0,3kuobVP5WqDq19xtCS1ToH1CFeiiRdCveJScG5TB1pRd,monkelabs_dao,MonkeLabs DAO,https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/3507456d9356b2fcb59a57462dd3fc1e.png,Monke #3547,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Body', 'value': 'Zombie'}, {'trait_type': 'Clothes', 'value': 'Lab Coat Open'}, {'trait_type': 'Eyes', 'value': 'Rainbow Visor'}, {'trait_type': 'Head', 'value': 'Controller'}, {'trait_type': 'Mouth', 'value': 'Line'}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/3507456d9356b2fcb59a57462dd3fc1e.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,1
6,3723,3Yq4j7hHdMrBs7hBdKPwmGzCLjSBU29BE1xGoCfyFnU6,111.0,AB9im7U5Jiwio5KWQpY6Uo6wyHGxHcNtbS4kuerhMrgH,monkelabs_dao,MonkeLabs DAO,https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/78cbf3e91d0f4f5a0a5abd5d76729c0f.png,Monke #4866,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Body', 'value': 'Arctic'}, {'trait_type': 'Clothes', 'value': 'Bowtie'}, {'trait_type': 'Eyes', 'value': 'Night Vision'}, {'trait_type': 'Head', 'value': 'Computer Off'}, {'trait_type': 'Mouth', 'value': 'Dot'}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/78cbf3e91d0f4f5a0a5abd5d76729c0f.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,1
7,3722,HmwXZBTAgU2qeCoTVXAS7NrGsrVjqSWDFbwoekk8WCeG,100.0,8J6gUHo1ZFkmZJ5cVe3DCmY2hF8S5BNdiFfNuxzaz7YB,monkelabs_dao,MonkeLabs DAO,https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/cd5436c56198939a7b245b2574ec11a2.png,Monke #1488,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Body', 'value': 'Alien'}, {'trait_type': 'Clothes', 'value': 'Tron Suit'}, {'trait_type': 'Eyes', 'value': 'Laser Visor'}, {'trait_type': 'Head', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Thoughtful'}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/cd5436c56198939a7b245b2574ec11a2.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,1
8,3721,ANU9AKBgfjwudbxZXFjM2BE2Zshxg2ULFfU2nkgReXPy,75.0,2EH3FDGaF9DPfBL6QKQe1wCskUzyLaxVbydRTXDhGv2r,monkelabs_dao,MonkeLabs DAO,https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/23dc1a48c3b80b065bc11239e715483e.png,Monke #108,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Body', 'value': 'Blue'}, {'trait_type': 'Clothes', 'value': 'Suit'}, {'trait_type': 'Eyes', 'value': 'Goggles'}, {'trait_type': 'Head', 'value': 'Math'}, {'trait_type': 'Mouth', 'value': 'Line'}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/23dc1a48c3b80b065bc11239e715483e.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,1
9,3718,Cm1Mwe8iYW8T15R64aDzry1TDAZEcMYjHy1WVoFsqK8C,69.0,AB9im7U5Jiwio5KWQpY6Uo6wyHGxHcNtbS4kuerhMrgH,monkelabs_dao,MonkeLabs DAO,https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/506f687d3e856b27829c552e38e7786a.png,Monke #5313,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Body', 'value': 'Arctic'}, {'trait_type': 'Clothes', 'value': 'Lab Coat Closed'}, {'trait_type': 'Eyes', 'value': 'None'}, {'trait_type': 'Head', 'value': 'Pill'}, {'trait_type': 'Mouth', 'value': 'Line'}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/506f687d3e856b27829c552e38e7786a.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,1
