,id,price,owner,collectionName,collectionTitle,img,title,propertyCategory,creators,attributes,properties,tokenDelegateValid,rarity,version,origin_attributes,Background,Body,Face,Costume,Face Gear,Glasses,Headgear
0,HhWPbfspHTGvTHtDDYw7VJMokV7AmcwRCqz74RaPWLhr,2.25,4y4FRpX4VvzNwYy9vpafDV3Mm25dFWfjTGS96PfxwDv4,magnum_ai,Magnum AI,https://www.arweave.net/BZLbXh0hSyzyfWl3w5W1EeNt2N4wyFMYXvs3X_gw46s?ext=png,Magnum #732,image,"[{'address': '5PUfY4iz9udwGTLbQaAH845NHCHDAfnqfoGaa8uPYm7', 'verified': 1, 'share': 0}, {'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Bronze Fade'}, {'trait_type': 'Body', 'value': 'Cyborg'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'The Sailor'}, {'trait_type': 'Face Gear', 'value': 'Green Bandana'}, {'trait_type': 'Glasses', 'value': 'No Glasses'}, {'trait_type': 'Headgear', 'value': 'Blonde Afro'}]","{'files': [{'uri': 'https://www.arweave.net/BZLbXh0hSyzyfWl3w5W1EeNt2N4wyFMYXvs3X_gw46s?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'share': 100}]}",False,,1,"[{'trait_type': 'Background', 'value': 'Bronze Fade'}, {'trait_type': 'Body', 'value': 'Cyborg'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'The Sailor'}, {'trait_type': 'Face Gear', 'value': 'Green Bandana'}, {'trait_type': 'Glasses', 'value': 'No Glasses'}, {'trait_type': 'Headgear', 'value': 'Blonde Afro'}]",BronzeFade,Cyborg,Face,TheSailor,GreenBandana,NoGlasses,BlondeAfro
1,7SMi8DB9ui6gUCLzDAWdzYdTXiVyxs4gskuDXDqQ73Tf,2.25,7NEgCtUQSa23n8Y6soBgtZWHWjKs4n9984Z8itZm1ygu,magnum_ai,Magnum AI,https://www.arweave.net/OLcYo2sQu1cpKpSWR-tJlV6lsGhIXHxAdMIzXHf2Xr4?ext=png,Magnum #2195,image,"[{'address': '5PUfY4iz9udwGTLbQaAH845NHCHDAfnqfoGaa8uPYm7', 'verified': 1, 'share': 0}, {'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Arcade Bricks'}, {'trait_type': 'Body', 'value': 'Camouflage'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'The Sailor'}, {'trait_type': 'Face Gear', 'value': 'Normal Cyborg'}, {'trait_type': 'Glasses', 'value': 'No Glasses'}, {'trait_type': 'Headgear', 'value': 'Rasta Mon'}]","{'files': [{'uri': 'https://www.arweave.net/OLcYo2sQu1cpKpSWR-tJlV6lsGhIXHxAdMIzXHf2Xr4?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'share': 100}]}",False,,1,"[{'trait_type': 'Background', 'value': 'Arcade Bricks'}, {'trait_type': 'Body', 'value': 'Camouflage'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'The Sailor'}, {'trait_type': 'Face Gear', 'value': 'Normal Cyborg'}, {'trait_type': 'Glasses', 'value': 'No Glasses'}, {'trait_type': 'Headgear', 'value': 'Rasta Mon'}]",ArcadeBricks,Camouflage,Face,TheSailor,NormalCyborg,NoGlasses,RastaMon
2,8HRqrjo3dSrt4wTtzLdasDAw3P5uhknXA7CywwSYa7Je,2.3,5E2tJPiJRuPSEXp3f82jbwfmCwEtMeAh5D6SsDuggMgH,magnum_ai,Magnum AI,https://www.arweave.net/lyReTbOlufZO0zR9o01MS7Nk6uqPk8aDUNUPhYh-j9U?ext=png,Magnum #242,image,"[{'address': '5PUfY4iz9udwGTLbQaAH845NHCHDAfnqfoGaa8uPYm7', 'verified': 1, 'share': 0}, {'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Aqua Fade'}, {'trait_type': 'Body', 'value': 'Human Skin'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Leonidas'}, {'trait_type': 'Face Gear', 'value': 'Great Smile'}, {'trait_type': 'Glasses', 'value': 'No Signal'}, {'trait_type': 'Headgear', 'value': 'Army Helmet Bullets'}]","{'files': [{'uri': 'https://www.arweave.net/lyReTbOlufZO0zR9o01MS7Nk6uqPk8aDUNUPhYh-j9U?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'share': 100}]}",False,,1,"[{'trait_type': 'Background', 'value': 'Aqua Fade'}, {'trait_type': 'Body', 'value': 'Human Skin'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Leonidas'}, {'trait_type': 'Face Gear', 'value': 'Great Smile'}, {'trait_type': 'Glasses', 'value': 'No Signal'}, {'trait_type': 'Headgear', 'value': 'Army Helmet Bullets'}]",AquaFade,HumanSkin,Face,Leonidas,GreatSmile,NoSignal,ArmyHelmetBullets
3,EDJduYSYqPrahiHxptn7vu9yc8R7dzECt5ak6AxDvpjT,2.35,6Zi1YdZdqaRC4cRrY5McXLPVz8xJxAYqwtR8F6KVzfor,magnum_ai,Magnum AI,https://www.arweave.net/ogr6HVMFzAZYdPsb0nVaftUhYB-J4VT7uwjIq9qsRB8?ext=png,Magnum #197,image,"[{'address': '5PUfY4iz9udwGTLbQaAH845NHCHDAfnqfoGaa8uPYm7', 'verified': 1, 'share': 0}, {'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Retro Emerald'}, {'trait_type': 'Body', 'value': 'Human Skin'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Magnum Fighter'}, {'trait_type': 'Face Gear', 'value': 'Half Cyborg'}, {'trait_type': 'Glasses', 'value': 'No Glasses'}, {'trait_type': 'Headgear', 'value': 'Red Mohawk'}]","{'files': [{'uri': 'https://www.arweave.net/ogr6HVMFzAZYdPsb0nVaftUhYB-J4VT7uwjIq9qsRB8?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'share': 100}]}",False,,1,"[{'trait_type': 'Background', 'value': 'Retro Emerald'}, {'trait_type': 'Body', 'value': 'Human Skin'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Magnum Fighter'}, {'trait_type': 'Face Gear', 'value': 'Half Cyborg'}, {'trait_type': 'Glasses', 'value': 'No Glasses'}, {'trait_type': 'Headgear', 'value': 'Red Mohawk'}]",RetroEmerald,HumanSkin,Face,MagnumFighter,HalfCyborg,NoGlasses,RedMohawk
4,XtMfCsgRk9WRueeJpmFY4BnVRViirg7PeVrP4W4zVwM,2.369,7FayiAYDm5gkNjyn2gGHGCVwDHZ8LYyHJkpvkYLVFn7J,magnum_ai,Magnum AI,https://www.arweave.net/DvAY8PejZMH0OLY--lj0ViEUnXcsyI9doptHqXB7byY?ext=png,Magnum #1534,image,"[{'address': '5PUfY4iz9udwGTLbQaAH845NHCHDAfnqfoGaa8uPYm7', 'verified': 1, 'share': 0}, {'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Aqua Fade'}, {'trait_type': 'Body', 'value': 'Camouflage'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Business Casual'}, {'trait_type': 'Face Gear', 'value': 'No Face Gear'}, {'trait_type': 'Glasses', 'value': 'No Glasses'}, {'trait_type': 'Headgear', 'value': 'Army Helmet Bullets'}]","{'files': [{'uri': 'https://www.arweave.net/DvAY8PejZMH0OLY--lj0ViEUnXcsyI9doptHqXB7byY?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'share': 100}]}",False,,1,"[{'trait_type': 'Background', 'value': 'Aqua Fade'}, {'trait_type': 'Body', 'value': 'Camouflage'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Business Casual'}, {'trait_type': 'Face Gear', 'value': 'No Face Gear'}, {'trait_type': 'Glasses', 'value': 'No Glasses'}, {'trait_type': 'Headgear', 'value': 'Army Helmet Bullets'}]",AquaFade,Camouflage,Face,BusinessCasual,NoFaceGear,NoGlasses,ArmyHelmetBullets
5,2gyRmT3MPutbVkQqJNZT7GRVdGvLuykvuBjGxPeXKHAi,2.39,2BsVWReAPmnkRqpfEmFPX7Syor7dEudfZdJMSsAqkZNB,magnum_ai,Magnum AI,https://www.arweave.net/LbWQgD6BAYWU1ZqeU2DaNi5jqq9nkNauGw6OADVvT7U?ext=png,Magnum #352,image,"[{'address': '5PUfY4iz9udwGTLbQaAH845NHCHDAfnqfoGaa8uPYm7', 'verified': 1, 'share': 0}, {'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Blue Fade'}, {'trait_type': 'Body', 'value': 'Human Skin'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Magnum Fighter'}, {'trait_type': 'Face Gear', 'value': 'No Face Gear'}, {'trait_type': 'Glasses', 'value': 'Transparent'}, {'trait_type': 'Headgear', 'value': 'Rasta Mon'}]","{'files': [{'uri': 'https://www.arweave.net/LbWQgD6BAYWU1ZqeU2DaNi5jqq9nkNauGw6OADVvT7U?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'share': 100}]}",False,,1,"[{'trait_type': 'Background', 'value': 'Blue Fade'}, {'trait_type': 'Body', 'value': 'Human Skin'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Magnum Fighter'}, {'trait_type': 'Face Gear', 'value': 'No Face Gear'}, {'trait_type': 'Glasses', 'value': 'Transparent'}, {'trait_type': 'Headgear', 'value': 'Rasta Mon'}]",BlueFade,HumanSkin,Face,MagnumFighter,NoFaceGear,Transparent,RastaMon
6,Evb9ZjzKwi2CSddNJc5hr9kmRyMm2qMpiFdnHyWpJUFa,2.4,BdKwS3Ams2k1MgXCSNiVCurExxmuKyCuAwAeT8eZWoF9,magnum_ai,Magnum AI,https://www.arweave.net/Jh_x0Uq8I5bgH05RJm_9_bUyp1eJvnRA142qXG-TQXg?ext=png,Magnum #1488,image,"[{'address': '5PUfY4iz9udwGTLbQaAH845NHCHDAfnqfoGaa8uPYm7', 'verified': 1, 'share': 0}, {'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Aqua Fade'}, {'trait_type': 'Body', 'value': 'Rock Lava'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Yellow Lumberjack'}, {'trait_type': 'Face Gear', 'value': 'Nice Teeth'}, {'trait_type': 'Glasses', 'value': 'No Glasses'}, {'trait_type': 'Headgear', 'value': 'Half Mini Man'}]","{'files': [{'uri': 'https://www.arweave.net/Jh_x0Uq8I5bgH05RJm_9_bUyp1eJvnRA142qXG-TQXg?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'share': 100}]}",False,,1,"[{'trait_type': 'Background', 'value': 'Aqua Fade'}, {'trait_type': 'Body', 'value': 'Rock Lava'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Yellow Lumberjack'}, {'trait_type': 'Face Gear', 'value': 'Nice Teeth'}, {'trait_type': 'Glasses', 'value': 'No Glasses'}, {'trait_type': 'Headgear', 'value': 'Half Mini Man'}]",AquaFade,RockLava,Face,YellowLumberjack,NiceTeeth,NoGlasses,HalfMiniMan
7,izncTYS7KtaPHthsrx2WVagXfTMWTxWXRPFFw5NuQQd,2.4,9fnm4EKL9cNcrSAJiqk1oKATK5ToarUcjFsvhfTK99JY,magnum_ai,Magnum AI,https://www.arweave.net/tGaRnbUHKKupvEDCLVYNW3NA6g5iVSgslriXbN18mi4?ext=png,Magnum #2623,image,"[{'address': '5PUfY4iz9udwGTLbQaAH845NHCHDAfnqfoGaa8uPYm7', 'verified': 1, 'share': 0}, {'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Retro Emerald'}, {'trait_type': 'Body', 'value': 'Camouflage'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Mob Boss'}, {'trait_type': 'Face Gear', 'value': 'Red Tongue'}, {'trait_type': 'Glasses', 'value': 'No Glasses'}, {'trait_type': 'Headgear', 'value': 'Viking Helmet'}]","{'files': [{'uri': 'https://www.arweave.net/tGaRnbUHKKupvEDCLVYNW3NA6g5iVSgslriXbN18mi4?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'share': 100}]}",False,,1,"[{'trait_type': 'Background', 'value': 'Retro Emerald'}, {'trait_type': 'Body', 'value': 'Camouflage'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Mob Boss'}, {'trait_type': 'Face Gear', 'value': 'Red Tongue'}, {'trait_type': 'Glasses', 'value': 'No Glasses'}, {'trait_type': 'Headgear', 'value': 'Viking Helmet'}]",RetroEmerald,Camouflage,Face,MobBoss,RedTongue,NoGlasses,VikingHelmet
8,A3EeLkHzT4d5b3YQUFzvAhw85nfFekSRvY1PNeAR7kYw,2.4,7FccRhBjz96eUpD8wFyFkRhkfZhoinDfbVPK1DP9CZjK,magnum_ai,Magnum AI,https://www.arweave.net/tGQxIPf0OKk__1YJYXnTLWi1caE22qX7Kw3Gt4Eq254?ext=png,Magnum #3836,image,"[{'address': '5PUfY4iz9udwGTLbQaAH845NHCHDAfnqfoGaa8uPYm7', 'verified': 1, 'share': 0}, {'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Bronze Fade'}, {'trait_type': 'Body', 'value': 'Human Skin'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Mob Boss'}, {'trait_type': 'Face Gear', 'value': 'Normal Cyborg'}, {'trait_type': 'Glasses', 'value': 'No Glasses'}, {'trait_type': 'Headgear', 'value': 'Toad Man'}]","{'files': [{'uri': 'https://www.arweave.net/tGQxIPf0OKk__1YJYXnTLWi1caE22qX7Kw3Gt4Eq254?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'share': 100}]}",False,,1,"[{'trait_type': 'Background', 'value': 'Bronze Fade'}, {'trait_type': 'Body', 'value': 'Human Skin'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Mob Boss'}, {'trait_type': 'Face Gear', 'value': 'Normal Cyborg'}, {'trait_type': 'Glasses', 'value': 'No Glasses'}, {'trait_type': 'Headgear', 'value': 'Toad Man'}]",BronzeFade,HumanSkin,Face,MobBoss,NormalCyborg,NoGlasses,ToadMan
9,86Qvtv84P99BnDvbD2kVWFhyg6WEZANSZXLsxdgfH2fs,2.42069,5WsZedkYwoug8E2WJEQsQ5gEboCEPQ7CZcWvkyu9ojwT,magnum_ai,Magnum AI,https://www.arweave.net/H726yyfUxKXOtDB3eh16tPDip9y1zHuOORef6Dx_HzI?ext=png,Magnum #2575,image,"[{'address': '5PUfY4iz9udwGTLbQaAH845NHCHDAfnqfoGaa8uPYm7', 'verified': 1, 'share': 0}, {'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Bronze Fade'}, {'trait_type': 'Body', 'value': 'Human Skin'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Business Casual'}, {'trait_type': 'Face Gear', 'value': 'Half Cyborg'}, {'trait_type': 'Glasses', 'value': 'Glowing Gold'}, {'trait_type': 'Headgear', 'value': 'No Headgear'}]","{'files': [{'uri': 'https://www.arweave.net/H726yyfUxKXOtDB3eh16tPDip9y1zHuOORef6Dx_HzI?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'share': 100}]}",False,,1,"[{'trait_type': 'Background', 'value': 'Bronze Fade'}, {'trait_type': 'Body', 'value': 'Human Skin'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Business Casual'}, {'trait_type': 'Face Gear', 'value': 'Half Cyborg'}, {'trait_type': 'Glasses', 'value': 'Glowing Gold'}, {'trait_type': 'Headgear', 'value': 'No Headgear'}]",BronzeFade,HumanSkin,Face,BusinessCasual,HalfCyborg,GlowingGold,NoHeadgear
