,id,price,owner,collectionName,collectionTitle,title,propertyCategory,creators,properties,tokenDelegateValid,rarity,version,Trait_Background,Trait_Body,Trait_Clothes,Trait_Eyes,Trait_Head,Trait_Mouth
0,7Gq9Sg6vFF3pDkvFWAECUWvtiRyML5rEeJerzooTJbpc,1.6,HcnFY2iZpxxUgnxTjgnSRniC3uTB2P5ouxeF1VRuJfmD,monkelabs_dao,MonkeLabs DAO,Monke #3739,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/e17866896b8b00594ef2200753e4aa58.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,1,Green,Purple,LabCoatClosed,Glasses,None,Full
1,4GG54cVKczNDxhgqTv175oHpW3n4311SRBBUKRJ1jLfy,1.6,32xT6GvJ5yDuBXNKWVEUYwH12kEvsSz2T18Dsft7quQ1,monkelabs_dao,MonkeLabs DAO,Monke #2126,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/a725eb7b3d94f137460774f171a9ad7f.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,1,Yellow,Blue,LabCoatClosed,None,LightBulb,Smile
2,Dot7rEKEwhZmKkmE8jNJCrbcLc744XcJYsMS9yDqSgcD,1.6275,Gee8i7omGrzkEjSjy9kVddVsMsJQMkSzXg2iXZB3ah1m,monkelabs_dao,MonkeLabs DAO,Monke #2906,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/658602395a2e3063b89cce6804e43930.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,1,Blue,Orangutan,TShirt,None,None,Dot
3,3MUek6vF4j4TaP6bxt6pprgRLxtzH6U4d41H8Wckt7Ts,1.679,3XdiGWLSnw4WqMDpiBEgxLPC483mvhzLpJsWwERkkZvq,monkelabs_dao,MonkeLabs DAO,Monke #3347,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/dbbc01c47c7b7fd5fbd4a5a27ec404cd.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,1,Red,Brown,SuperArmorGreen,None,Slime,Full
4,49YUrkQnqBeFF7zty3sSNp3h2SCSSujYGArKv5zqWkUA,1.68,D7JkC11EPypQoyFM8Uwvdwuqjv8rvySEdHkHLookhmPD,monkelabs_dao,MonkeLabs DAO,Monke #3961,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/980bd58c56be10bb14aa9ad02e2f61a3.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,1,Red,Blue,Bowtie,Goggles,Magnet,Open
5,HCw16KSqwsLozVrvZHuanBuEbuh94eJYhYSCZR22WxqR,1.68,9PRSRP6SKhFkeLiywpUJS1PNJDfvQEkpYikbjjosHLLr,monkelabs_dao,MonkeLabs DAO,Monke #5306,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/6296825d2ca29f3345fd5406d2ec595f.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,1,Blue,Brown,SuperArmorGreen,None,Brain,Thoughtful
6,Fq6VQkcdviN87jxhsuo1AEAFTv9jzeShoSqprzUxRGn6,1.69,CP6mS2bkNgu9odMH4kdRrTEbpXc7gpTMrxib1ELD8ynK,monkelabs_dao,MonkeLabs DAO,Monke #2745,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/1c8e8ebcf566f0e5a24adb666341e864.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,1,Red,Blue,LabCoatOpen,Goggles,Pill,Dot
7,9qEGfy1JPAKJ1uRNXS8T6VCa9yhRK156oZkLUC6tSW3X,1.69,CqHLGHt9Rc5oYHxwG26NtbkqFapckWbJ7CtMW8fMTBLR,monkelabs_dao,MonkeLabs DAO,Monke #140,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/91b0678315c3be55a2bf853a6a566256.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,1,Blue,Purple,LabCoatClosed,None,ComputerOn,Smile
8,EKiZbiASjMb5Y7BepU4CKvkUdw2H9hXHmjogZgtq7V8m,1.69,C7ok1wi7aurn6NmUGrbnMkooRsj7AAjDYYh7DspVBU8c,monkelabs_dao,MonkeLabs DAO,Monke #5478,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/c8bb1e8312bb4dfa8eefb78cab59a8d4.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,1,Red,Brown,Emperor,None,None,Dot
9,DfM4Ppu5ihiXzte9VuCeMU2qpmhN8GXFZiQrgFmyMCiC,1.74,Gw6F66B6y47i9ykDRa1HrGjzPR8KWyn3RM9GQZmhf648,monkelabs_dao,MonkeLabs DAO,Monke #3573,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/435ab9401f22258dc5558ef1578055a3.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,1,Yellow,Brown,None,None,Magnet,Thoughtful
10,2TXcrcACkfPaGQiR8ocEG5XhAA5CxPGavNZ9Fz6kFpR6,1.74,Gm8YLwPnP4Qsshhej8ABsHtcCBkUdayRxZ1Gz5uF5Mg2,monkelabs_dao,MonkeLabs DAO,Monke #5326,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/32b8612d021bd0ee3b1d3838274c6c54.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,1,Red,Brown,None,Glasses,LightBulb,Open
11,DSqc1T5PThDNtFzBiQCpcy8pv4WE4k2vYsti9r1i4urY,1.75,BAkrgKc36NYC4ymWh4zzBFRggohSePq3Xs4wFXQgAARw,monkelabs_dao,MonkeLabs DAO,Monke #2044,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/62c33cd2b8bbaf431db698ea611f7df0.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,1,Red,Brown,None,None,ComputerOn,Open
12,FSrbihiTSDVxsuJgt2Sm9btgyR2U5pdHJr9GcykTSK2S,1.75,9wa2rydinEtNgNzpXWo2frgbkm9dgQktqhWqf4Asq4cn,monkelabs_dao,MonkeLabs DAO,Monke #5069,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/4836c299b32cbf5152ca8031cb921aa7.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,1,Blue,Brown,Emperor,Goggles,Controller,Full
13,34w6ab8CKJw49Ad6d2PrqzzJPmJVdVv9fX2yuKa9uEkP,1.75,Cdkqx6dYZuaxTigRxvX6yRhUbqFZe7ovmtWETNrfQh2s,monkelabs_dao,MonkeLabs DAO,Monke #4823,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/cafda7cbe7eaed26e89b64ffbb51b3e9.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,1,Blue,Brown,Suit,None,None,Full
